movieId,imdbId,tmdbId,tmdb_rating
1,0114709,862,0.8
2,0113497,8844,0.72
3,0113228,15602,0.65
4,0114885,31357,0.63
5,0113041,11862,0.62
6,0113277,949,0.79
7,0114319,11860,0.62
8,0112302,45325,0.53
9,0114576,9091,0.6
10,0113189,710,0.69
11,0112346,9087,0.65
12,0112896,12110,0.61
13,0112453,21032,0.73
14,0113987,10858,0.69
15,0112760,1408,0.58
16,0112641,524,0.8
17,0114388,4584,0.74
18,0113101,5,0.58
19,0112281,9273,0.63
20,0113845,11517,0.58
21,0113161,8012,0.65
22,0112722,1710,0.65
23,0112401,9691,0.65
24,0114168,12665,0.7
25,0113627,451,0.73
26,0114057,16420,0.64
27,0114011,9263,0.69
28,0114117,17015,0.71
29,0112682,902,0.72
30,0115012,37557,0.68
31,0112792,9909,0.7
32,0114746,63,0.76
34,0112431,9598,0.62
36,0112818,687,0.73
38,0113442,33689,0.65
39,0112697,9603,0.73
40,0112749,34615,0.67
41,0114279,31174,0.67
42,0112819,11443,0.66
43,0114272,35196,0.6
44,0113855,9312,0.59
45,0114681,577,0.66
46,0113347,11861,0.64
47,0114369,807,0.84
48,0114148,10530,0.69
49,0114916,8391,0.62
50,0114814,629,0.82
52,0113819,11448,0.67
53,0110299,49133,0.71
54,0112499,26441,0.56
55,0113158,97406,0.59
57,0113321,9089,0.63
58,0110877,11010,0.79
60,0113419,11359,0.65
61,0116260,17182,0.61
62,0113862,2054,0.7
63,0116126,10607,0.7
64,0118002,19760,0.49
65,0115683,9536,0.45
66,0116839,11525,0.31
68,0113149,4482,0.61
69,0113118,10634,0.72
70,0116367,755  ,0.7
71,0113010,11859,0.51
72,0113537,28387,0.62
73,0113828,48750,0.67
74,0115644,20927,0.58
75,0115676,36929,0.45
76,0114367,9102,0.62
77,0113973,124626,0.75
78,0112744,27526,0.6
79,0116731,9623,0.56
80,0112445,46785,0.75
81,0114660,400,0.65
82,0112379,880,0.7
83,0114039,146599,0.43
85,0112365,8447,0.64
86,0118158,10534,0.63
87,0116151,17414,0.54
88,0115697,13997,0.6
89,0113972,2086,0.62
92,0117002,9095,0.58
93,0114825,12158,0.51
94,0115639,9283,0.67
95,0115759,9208,0.6
96,0113403,40154,0.7
97,0113247,406,0.81
99,0113283,63076,0.66
100,0115907,11062,0.59
101,0115734,13685,0.67
102,0117102,47475,0.4
103,0118040,2045,0.56
104,0116483,9614,0.66
105,0112579,688,0.77
106,0110251,11907,0.63
107,0117110,10874,0.66
108,0112646,89333,0.75
110,0112573,197,0.79
111,0075314,103,0.81
112,0113326,33542,0.68
113,0115645,43566,0.59
116,0112373,51352,0.76
117,0115033,16934,0.66
118,0116606,10324,0.51
119,0114536,78406,0.43
121,0106473,32119,0.72
122,0103859,11066,0.57
123,0109424,11104,0.8
125,0116324,2074,0.62
126,0110647,27793,0.45
128,0110217,290157,0.71
129,0114131,110972,0.66
132,0113451,11863,0.54
135,0116130,9101,0.63
137,0113756,5757,0.31
140,0118055,9302,0.63
141,0115685,11000,0.7
144,0112585,16388,0.6
145,0112442,9737,0.68
